test_name,tcp_flavor,time_iter,bits_per_second,rtt_ms,cwnd_size_bytes
amsterdam_lan_noload,reno,21,50333259.05156605,67.181,199824
amsterdam_lan_noload,reno,22,23064473.514261212,67.083,220096
amsterdam_lan_noload,reno,23,24117055.37653849,67.951,241816
amsterdam_lan_noload,reno,24,35653794.1370038,67.169,263536
amsterdam_lan_noload,reno,25,11527477.455652576,67.429,147696
amsterdam_lan_noload,reno,26,23081251.856334586,67.449,167968
amsterdam_lan_noload,reno,27,23068487.7514716,67.119,189688
amsterdam_lan_noload,reno,28,24104328.924172036,67.116,211408
amsterdam_lan_noload,reno,29,25179445.368775785,67.067,233128
amsterdam_lan_noload,reno,30,24111485.0024407,67.203,253400
amsterdam_lan_noload,reno,31,35659786.261637665,68.253,275120
amsterdam_lan_noload,reno,32,35633089.0995422,67.112,296840
amsterdam_lan_noload,reno,33,35677915.1830638,67.097,318560
amsterdam_lan_noload,reno,34,35649446.37817666,67.111,338832
amsterdam_lan_noload,reno,35,35633267.4152824,68.09,179552
amsterdam_lan_noload,reno,36,23064704.432497013,67.106,199824
amsterdam_lan_noload,reno,37,24119707.813360494,67.391,220096
amsterdam_lan_noload,reno,38,25176549.068819217,67.667,241816
amsterdam_lan_noload,reno,39,34588308.6219581,67.199,263536
amsterdam_lan_noload,reno,40,25166251.5072622,67.585,144800
amsterdam_lan_noload,reno,41,23077948.729001306,67.098,165072
amsterdam_lan_noload,reno,42,11534509.252602318,67.094,186792
amsterdam_lan_noload,reno,43,24107051.81252398,67.06,208512
amsterdam_lan_noload,reno,44,23073379.585473124,67.557,114392
amsterdam_lan_noload,reno,45,23074440.191943467,67.107,134664
amsterdam_lan_noload,reno,46,12582384.022154832,67.103,156384
amsterdam_lan_noload,reno,47,23068903.00231316,67.172,178104
amsterdam_lan_noload,reno,48,24117078.376193024,67.133,198376
amsterdam_lan_noload,reno,49,22011358.21861029,68.012,218648
amsterdam_lan_noload,reno,50,24125233.0804386,67.742,240368
amsterdam_lan_noload,reno,51,23072409.855552875,67.938,131768
amsterdam_lan_noload,reno,52,22010146.49758925,67.165,152040
amsterdam_lan_noload,reno,53,11538420.508383231,67.559,173760
amsterdam_lan_noload,reno,54,23072733.089802634,67.059,97016
amsterdam_lan_noload,reno,55,11532283.490304586,68.082,117288
amsterdam_lan_noload,reno,56,11534393.750289144,68.4,75296
amsterdam_lan_noload,reno,57,10483359.299762864,67.818,97016
amsterdam_lan_noload,reno,58,11537070.147960441,68.003,117288
amsterdam_lan_noload,reno,59,11529102.375798339,67.058,139008
